번호,용어,설명
764,총어음교환액,일정기간 중 전국의 모든 어음교환소를 통하여 상호교환된 어음(타점권)의 총액으로서 금액 또는 장수로 표시되는데 수납어음 중 자점을 지급지로 한 어음은 어음교환액에 포함되지 않으므로 동 통계가 실제 경제내에서 지급결제에 이용되고 있는 어음의 총규모를 나타내는 것은 아니다.
765,총어음부도액,"어음교환에 의해 상대은행으로부터 제시받은 어음 중 예금부족, 무거래, 형식불비, 위조, 변조 등 일정사유로 인해 지급에 응하지 못할 어음의 총액으로 금액 또는 장수로 표시된다."
766,총유동성,"총유동성은 총통화에 종합금융회사, 투자신탁회사 등 비은행금융기관의 각종 예수금과 금융기관이 발행하는 금융채, 양도성예금증서(CD), 표지어음매출, 상업 어음매출과 환매조건부채권매도 등을 포함시킨 가장 넓은 의미의 통화지표이다.

· M3 = 총통화(M2) + 비통화금융기관의 예수금 + 금융기관이 발행하는 금융채, 양도성 예금증서, 표지어음매출, 상업어음매출, RP매도"
767,총자본스톡,보유 자본재 중에서 폐기하고 남은 자본재의 가액을 단순히 더한 것으로 자산의 연령 증가에 따른 중고자산의 가격 하락을 감안하지 않고 신제품으로 구입할 때의 가격으로 평가한 것이다.
768,총자본투자효율 ,기업에 투하된 총자본으로 1년 동안에 얼마만큼의 부가가치액을 산출하였는가를 나타내는 비율이다.
769,총자본형성,"총자본형성은 총고정자본형성, 재고증감, 귀중품의 취득액에서 처분액을 차감한 금액으로 측정"
770,총자산경상이익률 ,기업이 소유하고 있는 총자산운용의 효율성을 나타내는 지표로서 경상이익의 총자산에 대한 비율로서 측정한다. 한편 이 비율의 변동요인을 구체적으로 파악하기 위해서는 이 지표를 다음과 같은 방법으로 분해하여 볼 수 있다. 예를 들어 매출액경상이익률은 높으나 총자산회전율이 낮은 경우에는 판매「마진」은 높았으나 기업의 판매활동이 부진하였음을 나타낸다.
771,총자산순이익률 ,당기순이익의 총자산에 대한 비율로서 ROA(Return on Assets)로 널리 알려져 있다. 기업의 계획과 실적간 차이 분석을 통한 경영활동평가나 경영전략 수립 등에 많이 사용된다.
772,총자산증가율 ,기업에 투하 운용된 총자산이 당해연도에 얼마나 증가하였는가를 나타내는 비율로서 기업의 전체적인 성장척도를 측정하는 지표이다.
773,총자산회전율 ,총자산이 1년 동안 몇 번 회전하였는가를 나타내는 비율로서 기업에 투하한 총자산의 운용효율을 총괄적으로 표시하는 지표이다.
774,총저축,"국민순생산에 대외순수취경상이전을 더한 국민총가처분소득은 그 해에 모두 소비되지는 않는데, 국민총가처분소득 중 소비되지 않고 남는 부분을 저축이라 하며 국민계정 상 총저축은 총처분가능소득에서 연금기금의 가계순지분 증감조정을 더한 후 최종소비지출을 차감한 것이다."
775,총저축률,일정기간 동안 국민경제가 생산한 산출물에 대한 저축의 비율로 국민총처분가능소득에서 최종소비지출을 차감한 총저축을 국민총처분가능소득으로 나누어 산출한다.
776,총통화,"총통화는 통화보다 넓은 의미의 통화지표로서 통화에 포함되는 현금과 요구불예금뿐만 아니라 정기예금, 정기적금 등 은행의 저축성예금, 그리고 거주자외화 예금을 포함시킨 개념이다. 이와같이 저축성예금을 통화지표에 포함시키는 것은 저축성예금이 비록 거래적동기보다는 자산증식을 위한 동기나 미래의 지출에 대비한 예비적동기를 갖고 보유되지만 약간의 이자소득만 포기한다면 얼마든지 쉽게 현금화가 가능하다는 점에서 요구불예금과 큰 차이가 없다고 보기 때문이다. 또 거주자외화예금도 국내의 지급결제수단으로는 다소 제약이 있지만 요구불, 저축성을 불문하고 언제든 원화로 바뀌어 국내에서 유통될 수 있기 때문에 총통화에 포함시키고 있다. 우리나라에서는 총통화가 다른 통화지표보다 경제성장, 물가 등 실물경제와 밀접한 관계를 맺고 있다는 경험적 사실에 근거하여 1979년에 총통화를 통화관리의 중심지표로 사용한 이래 오늘에 이르고 있다.
· M2 = M1(민간보유현금 + 요구불예금) + 저축성예금 + 거주자외화예금"
777,총투입액,"산업연관표에서 열방향으로 보면 각 산업부문이 재화와 서비스를 생산하기 위하여 지출한 생산비용의 구성, 즉 투입구조를 알 수 있는데 내생부문에 해당되는 중간투입과 외생부문에 해당되는 부가가치로 구분"
778,총투자율,총투자액을 국민총처분가능소득으로 나눈 값으로 국내총투자율과 국외투자율의 합
779,최빈값,도수를 가장 많이 점유하는 변수(Variable)의 값을 최빈값 또는 유행값이라 한다. 기성복의 표준치수 또는 유니폼의 표준치수는 평균이나 중앙값보다는 오히려 최빈값을 그 표준치로 잡는 것이 보통이다. mode는 여러 개 존재할 수도 있다.
780,최종소비지출,"가계, 가계에 봉사하는 비영리단체 및 정부가 소비를 목적으로 구입한 상품과 서비스의 가액을 말한다. 지출측면에서 국내총생산(GDP)를 구성하는 중요한 요소이다."
781,최종소비지출-가계,가계의 최종소비지출은 거주자 가계가 개별 소비용 재화 및 서비스(경제적으로 의미없는 가격으로 판매되는 것도 포함)에 대해 일으킨 지출임(귀속지출 포함)
782,최종소비지출-가계에 봉사하는 비영리단체,가계에 봉사하는 비영리단체의 최종소비지출은 거주자인 가계에 봉사하는 비영리단체가 개별 소비용 재화 및 서비스에 대해 일으킨 지출임(귀속지출 포함)
783,최종소비지출-정부,정부의 최종소비지출은 일반정부가 소비용 재화 및 서비스에 대해 일으킨 지출임(귀속지출 포함). 동 지출은 개별 소비용 재화 및 서비스에 대한 정부지출과 집합소비용 서비스에 대한 정부지출의 두 가지로 세분됨
784,최종수요,"가계나 일반정부의 소비 혹은 기업의 자본형성 등과 같이 최종적인 목적으로 수요되는 것으로 각 산업부분의 생산과정에서 원재료로 투입되어 중간소비되는 중간수요의 상대개념으로 소비, 투자, 수출, 수입(-)으로 구성"
785,최종에너지소비,"최종에너지는 최종 소비부문의 에너지 이용설비에 알맞은 형태로 사용되는 에너지로서, 1차에너지 중 직접 에너지로 사용되는 것은 그 자체, 일정한 전환과정을 거쳐서 다른 형태의 에너지로 전환되는 것은 그 산출물을 뜻한다. 이러한 최종에너지의 소비에서 소비자에게 공급된 에너지량으로, 전환과정 중의 전환손실 및 에너지산업체의 자체소비는 제외한다."
786,출하,"당해 사업체에서 직접 생산하거나 위탁생산분 중 그 사업체(자기창고, 타 장소 보관 불문)에서 출고된 량으로서, 현금 혹은 외상으로 사업체에서 출고된 것을 출하로 간주하며, 판매대금을 받았더라도 아직 인도되지 않고 있으면 원칙적으로 출하로 보지 않는다."
787,출하액,"제품출하액, 부산물·폐품판매액, 임가공(수탁제조)수입액 및 수리수입액의 합계를 말하며 출하액, 수탁제조 및 수리수입액에 대한 미수금도 포함한다. 제품출하액은 사업체에서 직접 생산한 완제품과 원재료 또는 반제품을 타 사업체에 공급하여 위탁제조한 완제품의 판매액이며, 부산물·폐품 판매액은 제품의 생산과정에서 나온 폐품, 불합격품(불량품) 의 판매에 의한 수입금액을 말하며 생산과정이외에서 나오는 것은 제외된다. 임가공수입액은 원재료 또는 중간제품을 타제조업 사업체로부터 지급받아 제조 또는 가공처리하여 준 대가로 받은 임가공수입액을 말하며 비제조업체로부터 수탁받아 제조한 것은 자체 생산하여 출하한 것으로 간주하여 제품출하액에 포함한다. 수리수입액은 타인의 소유에 속하는 물품을 수리하여 준 대가로서 받았거나 받아야 할 수입액을 말한다."
788,취업자,"조사대상 주간에 소득, 이익, 봉급, 임금 등의 수입을 목적으로 1시간 이상 일 한 자, 자기에게 직접적으로는 이득이나 수입이 오지 않더라도 가구단위에서 경영하는 농장이나 사업체의 수입을 높이는데 도와준 가족종사자로서 주당 18시간 이상 일한 자, 직업 또는 사업체를 가지고 있으나 조사대상 주간에 일시적인 병, 일기불순, 휴가 또는 연가, 노동쟁의 등의 이유로 일하지 못한 일시휴직자를 말한다.(경제활동인구조사)"
789,취학률,"취학률은 국민의 교육기회 수준에 관한 정보를 제공해 주는 지표로 취학 적령 (5∼21세) 인구 가운데 유치원(5세), 초등학교(6∼11세), 중학교(12∼14세), 고등학교(15∼17세) 그리고 고등교육기관(18∼21세)에 재학중인 학생비율을 나타낸다. 취학률을 산출할 때 각급학교 학생수 는 연령에 관계없이 실제로 재학중인 학생을 포함시키기 때문에 취학률이 100% 이상일 경우도 발생한다."
790,층화,"표본추출에 있어 추출단위의 특성을 고려하여 몇 개의 그룹으로 나누는 것을 말한다. 층화에 있어서는 그룹내 분산이 작고 그룹간 분산이 크게 되도록 구분하게 되며 부모집단(Subpopulation)의 형성과 의미를 같이한다. 예를 들어, 소득집단의 층화는 상위, 중위, 하위의 세 그룹으로 구분하는 것과 같은 것이다."
791,컨텐츠,"컨텐츠란 원래 서적, 논문 등의 내용이나 목차를 일컫는 말이었지만, 현재는 각종 유·무선 통신망을 통해 제공되는 디지털 정보를 통칭하는 말로 자주 쓰인다. 예를 들어, 인터넷이나 PC통신 등을 통해 제공되는 각종 프로그램이나 정보 내용물, CD롬 등에 담긴 영화나 음악, 게임 소프트웨어 등이 모두 이에 속한다."
792,컴퓨터 1대당 학생수,컴퓨터 관련 교과의 실습을 위한 기본장비 확보율을 의미하며 더 나아가 각 교과서에서의 컴퓨터 활용 가능성을 간접적으로 나타내 주는 지표이다. 총학생수를 교육용 컴퓨터 총대수로 나누어 산출한다
793,컴퓨터 바이러스,"컴퓨터 바이러스는 컴퓨터를 이용하는 사람이나 컴퓨터 자체에 감염되는 생물학적인 의미의 바이러스가 아니라, 컴퓨터에서 실행되는 프로그램의 일종으로 다른 프로그램들과는 달리 사용자 몰래 자기 자신을 다른 곳에 복사하는 명령어를 가지고 있다.
바이러스라는 이름이 붙은 이유는 생물학적인 바이러스가 자기 자신을 복제하는 유전인자를 가지고 있는 것처럼 컴퓨터 바이러스도 자기 자신을 복사하는 명령어를 가지고 있기 때문인데, 그 외에도 실제의 바이러스와 비슷하게 부작용을 가지고 있는 경우가 많다.
즉, 감기 바이러스가 인체 내에서 증식만 하는 것이 아니라 감기를 일으키듯이, 컴퓨터 바이러스도 자기 자신을 복사하는 명령어의 조합만을 가지고 있지 않고 하드디스크에 저장된 귀중한 자료를 지워버리는 등의 일을 수행하는 명령어를 포함하는 경우가 있다는 것이다.
컴퓨터 바이러스가 반드시 퇴치되어야만 하는 이유는 사용자 몰래 자기 자신을 복사하는데 있는 것이 아니라, 바로 이러한 부작용으로 인해 재산상으로 또는 정신적으로 막대한 피해를 일으키기 때문이다. 그러나 모든 컴퓨터 바이러스가 이러한 부작용을 가지고 있는 것은 아니며, 자기 복사 능력만 가지고 있는 것도 많다"
